date;fact;prediction;prev
13.02.2019;1.187 ;-1.142;-2.257
21.02.2019;-1.517 ;-1.691;1.187
27.02.2019;-0.304 ;-1.951;-1.517
06.03.2019;-2.393 ;-1.440;-0.304
13.03.2019;0.383 ;-1.858;-2.393
20.03.2019;-4.127 ;-1.094;0.383
27.03.2019;-2.075 ;-0.896;-4.127
03.04.2019;-1.998 ;-0.506;-2.075
10.04.2019;-0.116 ;-1.300;-1.998
17.04.2019;-0.362 ;-0.846;-0.116
24.04.2019;-0.662 ;-1.158;-0.362
01.05.2019;-1.307 ;-0.193;-0.662
08.05.2019;-0.159 ;-1.096;-1.307
15.05.2019;0.084 ;-1.006;-0.159
22.05.2019;0.768 ;-0.048;0.084
30.05.2019;-1.615 ;0.564;0.768
05.06.2019;4.572 ;0.499;-1.615
12.06.2019;-1 ;1.138;4.572
19.06.2019;-0.551 ;0.712;-1.000
26.06.2019;-2.441 ;0.522;-0.551
03.07.2019;1.408 ;-0.997;-2.441
10.07.2019;3.729 ;0.739;1.408
17.07.2019;5.686 ;0.613;3.729
24.07.2019;0.613 ;0.499;5.686
31.07.2019;-0.894 ;1.046;0.613
07.08.2019;1.529 ;0.482;-0.894
14.08.2019;-1.938 ;0.985;1.529
21.08.2019;2.6 ;0.314;-1.938
28.08.2019;-2.063 ;0.918;2.600
05.09.2019;-2.538 ;0.484;-2.063
11.09.2019;2.704 ;0.072;-2.538
18.09.2019;0.437 ;0.535;2.704
25.09.2019;-2.978 ;-0.733;0.437
02.10.2019;-2.418 ;-1.789;-2.978
09.10.2019;-3.943 ;-2.114;-2.418
17.10.2019;-3.823 ;-2.375;-3.943
23.10.2019;-2.715 ;-2.785;-3.823
30.10.2019;-1.032 ;-2.350;-2.715
06.11.2019;-0.622 ;-0.949;-1.032
14.11.2019;-2.477 ;-0.950;-0.622
20.11.2019;-0.974 ;-0.732;-2.477
27.11.2019;0.725 ;0.750;-0.974
04.12.2019;3.063 ;1.080;0.725
11.12.2019;4.118 ;1.630;3.063
18.12.2019;1.509 ;0.312;4.118
27.12.2019;-0.152 ;0.800;1.509
03.01.2020;8.776 ;1.122;-0.152
08.01.2020;5.330 ;3.874;8.776
15.01.2020;8.171 ;1.214;5.330
23.01.2020;-1.185 ;1.014;8.171
29.01.2020;-1.289 ;-1.095;-1.185
05.02.2020;-1.512 ;-0.014;-1.289
12.02.2020;-2.013 ;-0.557;-1.512
20.02.2020;-0.636 ;-1.459;-2.013
26.02.2020;-2.114 ;-1.713;-0.636
04.03.2020;-4.008 ;-1.928;-2.114
11.03.2020;-6.404 ;-1.911;-4.008
18.03.2020;-2.940 ;-1.963;-6.404
25.03.2020;-0.679 ;-1.886;-2.940
01.04.2020;-2.194 ;1.026;-0.679
08.04.2020;0.476 ;1.446;-2.194
