<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;17/03/20;170000;928.9900000;933.2500000;914.2400000;915.5600000;157299257
RTSI;60;17/03/20;180000;915.5600000;935.4500000;909.9200000;931.4200000;206721104
RTSI;60;17/03/20;190000;931.3600000;945.3900000;929.4300000;934.6600000;265728018
RTSI;60;18/03/20;110000;915.7100000;915.7100000;882.7200000;883.0300000;198308551
RTSI;60;18/03/20;120000;882.9200000;893.4200000;878.4600000;878.4600000;186851255
RTSI;60;18/03/20;130000;878.4600000;883.5000000;863.2400000;867.5300000;163258052
RTSI;60;18/03/20;140000;867.5200000;873.1200000;866.6000000;867.4800000;115778468
RTSI;60;18/03/20;150000;867.4600000;868.3800000;855.8400000;856.5800000;123658103
RTSI;60;18/03/20;160000;856.4600000;856.9500000;836.8400000;837.1200000;143121060
RTSI;60;18/03/20;170000;837.2200000;861.6500000;827.5200000;859.6500000;280032619
RTSI;60;18/03/20;180000;859.5700000;867.8900000;846.1700000;848.1600000;214916258
RTSI;60;18/03/20;190000;848.0100000;849.3200000;832.2600000;832.2600000;202921037
RTSI;60;19/03/20;110000;833.3800000;852.7900000;809.0000000;841.5900000;274972051
RTSI;60;19/03/20;120000;841.7600000;874.9600000;839.6000000;873.6800000;350418227
RTSI;60;19/03/20;130000;873.7200000;878.3600000;859.6100000;863.2800000;274591793
RTSI;60;19/03/20;140000;863.3000000;866.9900000;855.6500000;860.7100000;151081648
RTSI;60;19/03/20;150000;860.7100000;863.6300000;841.4100000;851.6000000;157195073
RTSI;60;19/03/20;160000;851.5400000;861.6800000;839.7700000;859.7500000;208197995
RTSI;60;19/03/20;170000;859.7800000;866.5900000;845.4400000;859.4900000;177596932
RTSI;60;19/03/20;180000;859.6900000;882.5700000;854.5300000;876.5500000;244686445
RTSI;60;19/03/20;190000;876.4900000;908.7500000;876.4100000;902.6300000;226248720
RTSI;60;20/03/20;110000;926.1900000;965.8600000;926.1900000;962.2600000;445581902
RTSI;60;20/03/20;120000;962.2400000;979.1300000;959.6400000;974.7800000;290944804
RTSI;60;20/03/20;130000;975.0000000;980.2100000;968.6800000;976.1700000;200603147
RTSI;60;20/03/20;140000;976.2000000;976.2300000;952.0000000;952.5000000;198969872
RTSI;60;20/03/20;150000;952.0900000;955.2600000;940.3000000;949.0900000;179480529
RTSI;60;20/03/20;160000;949.1400000;956.3900000;927.3800000;931.1400000;179941012
RTSI;60;20/03/20;170000;930.8300000;943.5700000;913.6900000;915.7900000;229431447
RTSI;60;20/03/20;180000;915.9800000;943.2800000;915.0600000;942.3600000;220289268
RTSI;60;20/03/20;190000;942.1800000;943.9400000;920.3100000;924.2200000;394413536
RTSI;60;23/03/20;110000;887.9900000;888.3800000;860.7400000;866.7300000;267104030
RTSI;60;23/03/20;120000;866.8900000;871.6300000;861.9400000;870.8100000;178023810
RTSI;60;23/03/20;130000;870.7500000;882.2300000;870.6800000;874.2400000;153613945
RTSI;60;23/03/20;140000;874.1200000;885.8400000;871.1400000;883.9500000;110157253
RTSI;60;23/03/20;150000;883.8700000;884.3000000;874.9500000;882.5700000;90366253
RTSI;60;23/03/20;160000;882.2700000;915.6400000;882.2300000;908.9500000;287556506
RTSI;60;23/03/20;170000;909.2200000;916.9200000;890.6400000;902.3700000;222117607
RTSI;60;23/03/20;180000;902.3000000;903.3500000;888.4700000;892.1300000;172460181
RTSI;60;23/03/20;190000;892.0300000;893.7900000;883.7800000;883.7800000;143173355
RTSI;60;24/03/20;110000;929.8900000;953.7300000;929.8900000;936.8600000;285439149
RTSI;60;24/03/20;120000;936.8700000;950.2700000;933.2900000;950.2400000;224388374
RTSI;60;24/03/20;130000;950.3000000;958.5200000;947.0700000;954.1600000;181081781
RTSI;60;24/03/20;140000;954.1600000;963.6100000;952.0700000;961.0800000;146770754
RTSI;60;24/03/20;150000;961.0900000;966.0900000;954.4700000;955.1300000;126635046
